row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0126,11,2.11E-04,9.32E-07,UHA-0010,10,10,1,3.60E+00,UHA-0266,10,10,1,8.63E-01,0.00E+00,,10,3,-1.25E+00,0.00E+00,
2,UHA-0127,8,2.72E-03,3.40E-06,UHA-0010,10,7,0,3.22E+00,UHA-0259,10,7,1,3.50E+00,0.00E+00,,7,1,5.41E+00,5.41E+00,*
3,UHA-0135,11,7.63E-04,2.63E-06,UHA-0010,10,10,1,2.31E+00,UHA-0372,10,10,1,9.48E-01,0.00E+00,,10,3,-6.51E-01,0.00E+00,
4,UHA-0166,11,1.20E-05,4.36E-08,UHA-0013,11,11,1,5.81E+00,UHA-0263,11,11,0,7.12E+00,7.12E+00,*,11,5,-6.80E+00,0.00E+00,
5,UHA-0169,11,1.72E-04,3.99E-08,UHA-0013,11,11,1,-5.21E-01,UHA-0269,11,11,0,1.25E+01,9.95E+00,*,11,2,1.30E+01,1.30E+01,*
6,UHA-0058,10,5.74E-04,3.47E-07,UHA-0260,11,10,1,1.55E+00,UHA-0351,11,10,1,4.89E+00,2.05E+00,*,10,3,2.31E+00,2.31E+00,*
7,UHA-0020,11,1.13E-05,7.21E-09,UHA-0261,11,11,1,3.50E+00,UHA-0260,11,11,0,1.24E+01,1.24E+01,*,11,4,4.25E+00,4.25E+00,*
8,UHA-0023,9,3.98E-03,5.15E-07,UHA-0261,11,9,0,4.36E+00,UHA-0260,11,9,0,1.19E+01,1.18E+01,*,9,1,1.08E+01,1.08E+01,*
9,UHA-0025,11,6.25E-05,8.33E-06,UHA-0261,11,11,1,7.11E+00,UHA-0258,10,10,0,9.22E+00,9.22E+00,*,10,2,7.52E+00,7.52E+00,*
10,UHA-0026,10,1.77E-03,4.19E-06,UHA-0261,11,10,1,1.76E+00,UHA-0351,11,10,2,2.83E-01,0.00E+00,,10,3,5.11E-01,5.11E-01,*
11,UHA-0027,11,4.80E-04,7.15E-07,UHA-0261,11,11,0,8.89E+00,UHA-0257,11,11,1,4.46E+00,1.37E+00,+,11,1,8.13E+00,8.13E+00,*
12,UHA-0028,11,4.90E-04,1.92E-08,UHA-0261,11,11,0,8.16E+00,UHA-0257,11,11,2,-2.82E+00,0.00E+00,,11,4,-5.79E+00,0.00E+00,
13,UHA-0099,11,5.77E-04,3.42E-06,UHA-0257,11,11,0,1.18E+01,UHA-0258,10,10,1,2.83E+00,2.83E+00,*,10,1,3.98E+00,3.98E+00,*
14,UHA-0029,11,4.91E-04,3.52E-08,UHA-0261,11,11,1,2.91E+00,UHA-0257,11,11,1,1.66E+00,1.66E+00,*,11,4,-1.44E+00,0.00E+00,
15,UHA-0043,9,4.49E-03,9.51E-06,UHA-0260,11,9,1,5.71E-01,UHA-0261,11,9,0,4.95E+00,4.95E+00,*,9,3,-3.41E-01,0.00E+00,
16,UHA-0045,11,1.58E-03,2.05E-06,UHA-0260,11,11,1,5.25E+00,UHA-0351,11,11,2,-3.08E+00,0.00E+00,,11,4,-4.57E+00,0.00E+00,
17,UHA-0047,11,1.06E-03,6.22E-06,UHA-0260,11,11,1,4.25E+00,UHA-0351,11,11,2,-2.28E+00,0.00E+00,,11,3,-4.49E-01,0.00E+00,
18,UHA-0050,11,6.85E-05,2.51E-07,UHA-0260,11,11,2,-9.95E-01,UHA-0261,11,11,1,1.22E+01,8.89E+00,*,11,4,7.97E+00,5.44E+00,*
19,UHA-0052,11,4.62E-04,4.07E-08,UHA-0260,11,11,0,9.67E+00,UHA-0351,11,11,0,5.92E+00,5.92E+00,*,11,3,-1.17E+00,0.00E+00,
20,UHA-0056,9,3.42E-03,3.26E-05,UHA-0260,11,9,1,4.52E-01,UHA-0258,10,8,0,6.79E+00,6.17E+00,*,8,1,8.99E+00,8.99E+00,*
21,UHA-0068,10,3.07E-03,2.67E-05,UHA-0014,11,10,1,1.70E+00,UHA-0264,11,10,0,5.69E+00,0.00E+00,,10,2,3.23E+00,5.79E-01,*
22,UHA-0070,11,2.01E-03,7.43E-05,UHA-0014,11,11,0,1.18E+01,UHA-0262,11,11,1,9.34E+00,8.46E-01,+,11,1,6.77E+00,7.10E-02,*
23,UHA-0071,10,1.98E-03,4.32E-05,UHA-0014,11,10,0,9.17E+00,UHA-0266,10,10,0,5.28E+00,0.00E+00,,10,0,8.87E+00,8.87E+00,*
24,UHA-0075,9,1.16E-02,4.51E-05,UHA-0014,11,9,0,5.17E+00,UHA-0012,11,9,0,2.49E+00,0.00E+00,,9,2,-1.69E+00,0.00E+00,
25,UHA-0077,11,1.57E-03,6.20E-06,UHA-0014,11,11,0,9.34E+00,UHA-0262,11,11,0,8.34E+00,5.56E+00,*,11,3,-2.30E+00,0.00E+00,
26,UHA-0079,11,5.14E-05,1.10E-06,UHA-0014,11,11,0,1.23E+01,UHA-0267,11,11,0,1.07E+01,1.14E+00,+,11,1,6.76E+00,6.92E-01,*
27,UHA-0080,10,3.46E-04,3.54E-07,UHA-0014,11,10,1,1.73E+00,UHA-0265,11,10,0,1.36E+01,6.10E+00,*,10,1,1.56E+01,1.33E+01,*
28,UHA-0081,10,4.94E-03,1.87E-03,UHA-0014,11,10,0,1.22E+01,UHA-0262,11,10,0,1.07E+01,2.43E+00,*,10,0,8.87E+00,5.16E+00,*
29,UHA-0093,8,5.01E-03,3.92E-05,UHA-0015,11,8,0,5.64E+00,UHA-0265,11,8,0,9.26E+00,2.96E+00,*,8,0,1.05E+01,6.33E+00,*
30,UHA-0094,11,3.92E-04,9.26E-10,UHA-0015,11,11,0,5.18E+00,UHA-0266,10,10,2,2.90E-01,0.00E+00,,10,2,3.46E+00,3.46E+00,*
31,UHA-0095,11,9.45E-04,8.98E-08,UHA-0015,11,11,1,1.46E+00,UHA-0266,10,10,1,4.81E+00,0.00E+00,,10,2,7.38E+00,7.38E+00,*
32,UHA-0096,6,2.99E-02,2.56E-04,UHA-0015,11,6,0,2.46E+00,UHA-0266,10,6,0,5.19E+00,2.72E+00,*,6,0,7.40E+00,7.40E+00,*
33,UHA-0097,9,4.84E-04,3.38E-06,UHA-0015,11,9,1,5.51E+00,UHA-0266,10,8,0,9.58E+00,0.00E+00,,8,1,1.19E+01,7.71E+00,*
34,UHA-0098,11,1.69E-04,1.73E-05,UHA-0015,11,11,3,-9.53E+00,UHA-0257,11,11,1,2.26E+00,0.00E+00,,11,5,4.47E-01,4.47E-01,*
35,UHA-0101,9,6.03E-03,1.04E-05,UHA-0257,11,9,0,5.62E+00,UHA-0260,11,9,1,3.05E+00,3.05E+00,*,9,1,6.45E+00,6.45E+00,*
36,UHA-0105,11,4.09E-04,7.93E-07,UHA-0257,11,11,0,1.26E+01,UHA-0258,10,10,0,4.86E+00,4.86E+00,*,10,2,-5.57E-01,0.00E+00,
37,UHA-0109,11,8.86E-04,2.11E-08,UHA-0257,11,11,0,5.76E+00,UHA-0261,11,11,1,6.47E+00,6.47E+00,*,11,1,1.12E+01,1.12E+01,*
38,UHA-0111,11,5.36E-04,1.26E-06,UHA-0257,11,11,1,5.04E+00,UHA-0258,10,10,0,8.56E+00,4.00E+00,*,10,3,3.41E+00,3.41E+00,*
39,UHA-0112,10,3.46E-04,2.87E-05,UHA-0257,11,10,5,-2.04E+01,UHA-0265,11,10,0,1.36E+01,6.10E+00,*,10,6,9.35E+00,9.35E+00,*
40,UHA-0298,11,1.39E-03,1.09E-03,UHA-0351,11,11,0,1.61E+01,UHA-0272,11,11,0,2.15E+00,2.15E+00,*,11,0,4.61E+00,4.24E+00,*
41,UHA-0021,11,1.23E-05,5.84E-08,UHA-0261,11,11,2,-1.71E+00,UHA-0260,11,11,1,9.94E+00,9.94E+00,*,11,3,1.08E+01,1.08E+01,*
42,UHA-0022,11,7.42E-04,9.39E-05,UHA-0261,11,11,1,9.62E+00,UHA-0258,10,10,1,2.75E-01,2.75E-01,+,10,3,-1.10E+00,0.00E+00,
43,UHA-0048,11,1.54E-03,7.95E-06,UHA-0260,11,11,1,3.88E+00,UHA-0258,10,10,1,2.75E-01,2.75E-01,+,10,3,-1.64E+00,0.00E+00,
44,UHA-0049,11,8.41E-05,6.20E-07,UHA-0260,11,11,2,-1.46E+00,UHA-0257,11,11,2,4.90E-01,4.90E-01,+,11,5,-1.68E+00,0.00E+00,
45,UHA-0053,11,1.54E-03,3.88E-08,UHA-0260,11,11,0,6.42E+00,UHA-0351,11,11,1,4.26E+00,3.75E+00,*,11,3,1.12E-01,1.12E-01,*
46,UHA-0054,11,2.54E-04,4.24E-08,UHA-0260,11,11,0,7.61E+00,UHA-0351,11,11,2,-1.19E+00,0.00E+00,,11,4,-7.38E+00,0.00E+00,
47,UHA-0055,11,4.22E-04,1.67E-07,UHA-0260,11,11,1,4.45E+00,UHA-0266,10,10,2,-4.98E+00,0.00E+00,,10,4,-6.23E+00,0.00E+00,
48,UHA-0069,11,2.40E-03,1.62E-06,UHA-0014,11,11,1,9.12E-01,UHA-0266,10,10,0,8.70E+00,1.26E+00,+,10,2,6.84E+00,6.84E+00,*
49,UHA-0072,11,2.57E-03,9.35E-06,UHA-0014,11,11,0,7.89E+00,UHA-0266,10,10,0,5.97E+00,0.00E+00,,10,0,9.99E+00,9.99E+00,*
50,UHA-0073,11,5.29E-04,9.93E-06,UHA-0014,11,11,1,5.72E+00,UHA-0267,11,11,0,1.33E+01,4.02E+00,*,11,2,8.14E+00,7.27E+00,*
51,UHA-0074,11,1.36E-03,1.03E-06,UHA-0014,11,11,1,-1.71E-01,UHA-0257,11,11,1,3.15E+00,0.00E+00,,11,3,9.46E-01,9.46E-01,*
52,UHA-0076,11,1.17E-03,2.35E-06,UHA-0014,11,11,0,9.21E+00,UHA-0266,10,10,0,4.65E+00,0.00E+00,,10,0,7.52E+00,7.52E+00,*
53,UHA-0100,11,1.07E-04,4.23E-06,UHA-0257,11,11,2,-1.06E+00,UHA-0258,10,10,1,4.96E+00,4.96E+00,*,10,2,1.17E+01,1.17E+01,*
54,UHA-0102,11,1.32E-04,8.04E-06,UHA-0257,11,11,2,8.33E-01,UHA-0351,11,11,0,1.28E+01,1.28E+01,*,11,2,1.39E+01,1.39E+01,*
55,UHA-0106,11,1.60E-03,3.43E-05,UHA-0257,11,11,1,5.05E+00,UHA-0260,11,11,1,3.20E+00,3.20E+00,*,11,2,6.06E+00,6.06E+00,*
56,UHA-0110,11,1.50E-03,9.82E-07,UHA-0257,11,11,1,3.04E+00,UHA-0258,10,10,0,6.66E+00,6.66E+00,*,10,3,3.49E+00,3.49E+00,*
57,UHA-0036,10,1.87E-03,5.04E-07,UHA-0261,11,10,1,2.04E+00,UHA-0257,11,10,1,2.17E+00,2.17E+00,*,10,3,2.72E+00,2.72E+00,*
58,UHA-0037,11,2.53E-04,9.08E-06,UHA-0261,11,11,2,-2.01E+00,UHA-0257,11,11,1,1.78E+00,1.78E+00,*,11,4,6.19E-01,6.19E-01,*
59,UHA-0038,11,1.41E-04,2.60E-07,UHA-0261,11,11,1,3.71E+00,UHA-0016,9,9,1,-3.05E-01,0.00E+00,,9,3,-2.29E+00,0.00E+00,
60,UHA-0089,11,1.51E-04,1.39E-06,UHA-0014,11,11,1,6.39E+00,UHA-0266,10,10,0,4.33E+00,0.00E+00,,10,2,3.38E+00,3.38E+00,*
61,UHA-0040,11,1.81E-03,3.37E-07,UHA-0261,11,11,0,8.39E+00,UHA-0351,11,11,1,3.86E+00,2.79E+00,*,11,2,2.66E+00,2.66E+00,*
62,UHA-0041,11,1.29E-04,7.90E-10,UHA-0261,11,11,0,9.56E+00,UHA-0260,11,11,1,7.31E+00,7.31E+00,*,11,3,3.31E+00,3.31E+00,*
63,UHA-0090,11,1.41E-03,4.96E-08,UHA-0014,11,11,0,4.80E+00,UHA-0266,10,10,0,7.92E+00,1.43E+00,+,10,1,8.51E+00,8.51E+00,*
64,UHA-0059,11,8.57E-05,3.56E-06,UHA-0260,11,11,1,7.93E+00,UHA-0258,10,10,1,2.10E+00,2.10E+00,*,10,3,4.60E-01,4.60E-01,*
65,UHA-0063,11,1.62E-04,2.52E-03,UHA-0260,11,11,8,-3.07E+01,UHA-0176,11,11,0,1.99E+01,1.06E+01,*,11,8,1.63E+01,1.27E+01,*
66,UHA-0082,11,1.25E-03,3.64E-05,UHA-0014,11,11,0,1.07E+01,UHA-0009,11,11,0,5.82E+00,0.00E+00,,11,1,4.74E+00,6.83E-01,*
67,UHA-0083,11,8.10E-04,2.37E-06,UHA-0014,11,11,0,1.02E+01,UHA-0266,10,10,1,1.77E+00,0.00E+00,,10,2,7.10E-01,7.10E-01,*
68,UHA-0084,11,9.59E-04,7.36E-07,UHA-0014,11,11,0,7.45E+00,UHA-0266,10,10,0,9.27E+00,3.92E+00,*,10,0,1.27E+01,1.27E+01,*
69,UHA-0085,11,5.10E-04,6.05E-06,UHA-0014,11,11,0,1.09E+01,UHA-0266,10,10,0,6.14E+00,0.00E+00,,10,0,1.01E+01,1.01E+01,*
70,UHA-0086,11,3.71E-04,3.58E-06,UHA-0014,11,11,0,1.09E+01,UHA-0266,10,10,0,6.71E+00,0.00E+00,,10,0,1.07E+01,1.07E+01,*
71,UHA-0087,11,7.20E-05,1.47E-05,UHA-0014,11,11,1,8.07E+00,UHA-0262,11,11,0,1.36E+01,8.91E+00,*,11,1,1.23E+01,6.01E+00,*
72,UHA-0088,11,5.05E-04,4.39E-06,UHA-0014,11,11,0,8.12E+00,UHA-0262,11,11,0,8.29E+00,6.73E+00,*,11,2,2.11E+00,2.11E+00,*
73,UHA-0091,11,7.19E-04,2.63E-06,UHA-0014,11,11,0,8.54E+00,UHA-0266,10,10,1,1.83E+00,0.00E+00,,10,2,3.34E-01,3.34E-01,*
74,UHA-0113,11,2.08E-03,1.11E-06,UHA-0257,11,11,0,7.29E+00,UHA-0260,11,11,0,4.10E+00,4.10E+00,*,11,2,1.81E+00,1.81E+00,*
75,UHA-0114,10,2.74E-04,7.59E-06,UHA-0257,11,10,2,-2.94E+00,UHA-0260,11,10,1,4.33E+00,4.33E+00,*,10,4,2.89E+00,2.89E+00,*
76,UHA-0115,10,3.18E-03,7.73E-06,UHA-0351,11,10,0,7.71E+00,UHA-0258,10,9,1,7.88E-01,0.00E+00,,9,2,-1.80E+00,0.00E+00,
77,UHA-0116,11,6.29E-05,4.24E-06,UHA-0351,11,11,2,-8.62E-01,UHA-0260,11,11,0,1.06E+01,1.06E+01,*,11,3,8.27E+00,8.27E+00,*
78,UHA-0118,11,8.62E-05,2.88E-08,UHA-0351,11,11,1,4.54E+00,UHA-0261,11,11,0,1.17E+01,1.17E+01,*,11,2,9.52E+00,9.52E+00,*
79,UHA-0119,11,1.04E-03,1.94E-05,UHA-0351,11,11,1,5.85E+00,UHA-0257,11,11,0,1.21E+01,1.04E+01,*,11,1,1.35E+01,1.35E+01,*
80,UHA-0120,11,9.49E-05,1.48E-08,UHA-0351,11,11,0,8.79E+00,UHA-0257,11,11,1,7.71E+00,7.71E+00,*,11,2,6.15E+00,6.15E+00,*
81,UHA-0121,11,1.35E-04,7.57E-06,UHA-0351,11,11,0,1.43E+01,UHA-0257,11,11,2,-5.30E-01,0.00E+00,,11,2,1.44E-01,1.44E-01,*
82,UHA-0122,11,3.39E-04,1.68E-05,UHA-0351,11,11,0,1.45E+01,UHA-0257,11,11,1,3.44E+00,3.44E+00,*,11,1,5.03E+00,5.03E+00,*
