"","row_names","Offspring_ID","Loci_typed","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"1",1,"UHA-0020",8,"UHA-0261",9,8,0,7.36,"UHA-0260",9,8,0,15.1,13.1,"*",8,0,17.5,17.5,"*"
"2",2,"UHA-0021",9,"UHA-0261",9,9,0,8.85,"UHA-0260",9,9,0,15.3,10.7,"*",9,0,17,17,"*"
"3",3,"UHA-0022",8,"UHA-0261",9,8,0,5.93,"UHA-0257",8,8,0,6.45,4.86,"*",8,0,9.65,5.94,"*"
"4",4,"UHA-0023",7,"UHA-0261",9,7,0,3.99,"UHA-0260",9,7,0,8.62,4.48,"*",7,0,9.6,9.6,"*"
"5",5,"UHA-0025",8,"UHA-0261",9,8,0,7.89,"UHA-0258",8,8,1,3.62,3.62,"+",8,1,6,6,"*"
"7",7,"UHA-0027",9,"UHA-0261",9,9,0,6.96,"UHA-0257",8,8,0,7.4,7.4,"*",8,0,10.9,10.9,"*"
"8",8,"UHA-0028",9,"UHA-0261",9,9,0,9.74,"UHA-0257",8,8,0,4.06,2.1,"+",8,1,3.98,3.98,"*"
"9",9,"UHA-0029",9,"UHA-0261",9,9,0,8.67,"UHA-0257",8,8,0,5.95,5.06,"*",8,0,9.76,9.76,"*"
"10",10,"UHA-0039",9,"UHA-0261",9,9,0,12.9,"UHA-0010",9,9,0,7.72,6.31,"*",9,0,7.57,6.68,"*"
"11",11,"UHA-0043",9,"UHA-0260",9,9,0,5.33,"UHA-0261",9,9,0,5.77,5.77,"*",9,1,4.51,4.51,"*"
"12",12,"UHA-0045",9,"UHA-0260",9,9,0,11.3,"UHA-0016",7,7,0,3.09,3.09,"+",7,1,0.875,0.875,"+"
"15",15,"UHA-0056",7,"UHA-0260",9,7,0,3.3,"UHA-0258",8,7,0,6.32,2.84,"+",7,0,8.07,8.07,"*"
"16",16,"UHA-0068",8,"UHA-0014",8,8,0,4.8,"UHA-0264",8,8,0,5.68,1.14,"-",8,0,7.86,2.49,"+"
"17",17,"UHA-0070",8,"UHA-0014",8,8,0,7.95,"UHA-0262",8,8,0,8.53,1.2,"-",8,0,8.12,0.677,"-"
"18",18,"UHA-0071",8,"UHA-0014",8,8,0,5.05,"UHA-0266",8,8,0,7.43,2.37,"+",8,0,9.95,9.95,"*"
"19",19,"UHA-0075",8,"UHA-0014",8,8,0,7.21,"UHA-0264",8,8,1,-0.75,0,"",8,1,0.974,0.742,"-"
"20",20,"UHA-0077",8,"UHA-0014",8,8,0,7.08,"UHA-0263",8,8,0,7.46,0,"",8,1,2.56,1.93,"+"
"21",21,"UHA-0079",8,"UHA-0014",8,8,0,8.85,"UHA-0267",8,8,0,8.59,0.219,"-",8,0,8.83,0.689,"-"
"22",22,"UHA-0080",8,"UHA-0014",8,8,0,6.03,"UHA-0265",8,8,0,7.83,1.11,"-",8,0,9.74,9.74,"*"
"23",23,"UHA-0081",8,"UHA-0014",8,8,0,7.95,"UHA-0262",8,8,0,8.53,1.2,"-",8,0,8.12,0.677,"-"
"25",25,"UHA-0098",8,"UHA-0257",8,8,0,5.95,"UHA-0260",9,8,0,8.7,4.54,"*",8,0,11.9,6.8,"*"
"26",26,"UHA-0099",8,"UHA-0257",8,8,0,9.48,"UHA-0258",8,8,0,7.82,7.82,"*",8,0,9.74,9.74,"*"
"27",27,"UHA-0101",8,"UHA-0257",8,8,0,5.17,"UHA-0260",9,8,0,6.61,6.61,"*",8,1,4.69,4.69,"*"
"28",28,"UHA-0105",8,"UHA-0257",8,8,0,7.92,"UHA-0258",8,8,0,8.07,6.79,"*",8,1,5.72,5.72,"*"
"29",29,"UHA-0106",8,"UHA-0257",8,8,0,7.68,"UHA-0260",9,8,0,4.57,0.0114,"-",8,0,8.04,0.0118,"-"
