"Offspring_ID","Mother_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0127","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0058","UHA-0260","UHA-0351","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0020","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0023","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0025","UHA-0261","UHA-0258","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",41.9200876913421,FALSE
"UHA-0026","UHA-0261","UHA-0351","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",51.1992694526717,FALSE
"UHA-0027","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0099","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0056","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0068","UHA-0014","UHA-0264","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",11.6527505722726,FALSE
