"Offspring_ID","Mother_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0020","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511323,FALSE
"UHA-0021","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511323,FALSE
"UHA-0022","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0023","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511323,FALSE
"UHA-0025","UHA-0261","UHA-0258","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",41.9200876906342,FALSE
"UHA-0027","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0028","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0029","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0039","UHA-0261","UHA-0010","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.067413,41.816572,"704-46*8",FALSE,"570-78","704-46",314.317442971161,FALSE
"UHA-0043","UHA-0260","UHA-0261","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",TRUE,"570-78","570-78",12.1070215511323,FALSE
"UHA-0056","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0068","UHA-0014","UHA-0264","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",11.6527505722726,FALSE
"UHA-0070","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0071","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.925817717255,FALSE
"UHA-0077","UHA-0014","UHA-0263","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063389,41.811663,"704-46*11",TRUE,"704-46","704-46",17.7847200771625,FALSE
"UHA-0079","UHA-0014","UHA-0267","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.066639,41.813953,"704-46*9",TRUE,"704-46","704-46",382.373795362266,FALSE
"UHA-0080","UHA-0014","UHA-0265","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",14.9590685740559,FALSE
"UHA-0081","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0098","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387338163,FALSE
"UHA-0099","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0101","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387338163,FALSE
"UHA-0105","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0106","UHA-0257","UHA-0010","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.067413,41.816572,"704-46*8",FALSE,"549-82","704-46",312.811867693626,FALSE
"UHA-0109","UHA-0257","UHA-0261","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"549-82","570-78",40.8287737366712,FALSE
"UHA-0123","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0124","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0125","UHA-0010","UHA-0261","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"704-46","570-78",314.317442971161,FALSE
"UHA-0129","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0130","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0131","UHA-0010","UHA-0016","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063069,41.811735,"704-46*14",TRUE,"704-46","704-46",647.236699501926,FALSE
