"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"1",1,"UHA-0126",13,6.16e-05,3.83e-06,"UHA-0010",12,12,1,3.71,"UHA-0266",12,12,2,-1.15,0,"",12,2,3.74,2.45,"*"
"2",2,"UHA-0127",11,0.000227,0.000161,"UHA-0010",12,10,1,2.24,"UHA-0259",12,10,1,5.12,5.12,"*",10,2,6.3,6.3,"*"
"3",3,"UHA-0135",13,0.000903,7.04e-05,"UHA-0010",12,12,1,3.12,"UHA-0257",13,13,0,7.08,7.08,"*",13,1,10.8,10.8,"*"
"5",5,"UHA-0169",13,0.000719,5.94e-09,"UHA-0013",13,13,0,6.54,"UHA-0269",13,13,0,14.5,7.98,"*",13,0,19.3,19.3,"*"
"6",6,"UHA-0058",12,0.000199,1.04e-07,"UHA-0260",13,12,0,9.21,"UHA-0351",13,12,0,12.9,12.9,"*",12,0,17.1,17.1,"*"
"7",7,"UHA-0020",13,3.76e-06,3.17e-08,"UHA-0261",13,13,1,5.66,"UHA-0260",13,13,0,17.6,17.6,"*",13,1,19.6,19.6,"*"
"8",8,"UHA-0023",11,0.00157,0.000327,"UHA-0261",13,11,1,1.81,"UHA-0260",13,11,0,11,10.6,"*",11,1,10.9,10.9,"*"
"9",9,"UHA-0025",13,1.89e-05,4.23e-07,"UHA-0261",13,13,0,13.6,"UHA-0258",12,12,1,7.2,7.2,"*",12,1,9.99,9.99,"*"
"10",10,"UHA-0026",12,0.000561,2.59e-05,"UHA-0261",13,12,0,12.2,"UHA-0351",13,12,2,0.343,0.227,"+",12,2,1.22,1.22,"*"
"11",11,"UHA-0027",13,0.000104,4.48e-07,"UHA-0261",13,13,0,11.2,"UHA-0257",13,13,0,9.99,9.99,"*",13,0,14.7,14.7,"*"
"12",12,"UHA-0028",13,0.00015,2.28e-05,"UHA-0261",13,13,1,6.83,"UHA-0257",13,13,0,7.5,7.5,"*",13,1,11.7,11.7,"*"
"13",13,"UHA-0099",13,0.000132,7.96e-06,"UHA-0257",13,13,0,10.5,"UHA-0258",12,12,0,10.7,10.7,"*",12,0,12.7,12.7,"*"
"14",14,"UHA-0029",13,0.000312,7.25e-06,"UHA-0261",13,13,1,3.57,"UHA-0257",13,13,0,9.17,9.17,"*",13,1,13.3,13.3,"*"
"15",15,"UHA-0043",11,0.000936,6.16e-05,"UHA-0260",13,11,0,7.56,"UHA-0261",13,11,1,2.45,2.45,"*",11,1,3.79,3.79,"*"
"16",16,"UHA-0045",13,0.000241,1.36e-05,"UHA-0260",13,13,0,12.2,"UHA-0351",13,13,2,-0.312,0,"",13,2,1.39,1.39,"*"
"18",18,"UHA-0050",13,5.96e-05,3.15e-07,"UHA-0260",13,13,1,3.2,"UHA-0261",13,13,0,15.1,14.6,"*",13,2,13.8,11.9,"*"
"20",20,"UHA-0056",12,0.000796,3.12e-05,"UHA-0260",13,12,1,2.74,"UHA-0258",12,11,0,10.2,10.2,"*",11,1,12.1,12.1,"*"
"21",21,"UHA-0068",12,0.000516,1.85e-05,"UHA-0014",13,12,0,8.05,"UHA-0224",13,12,1,4.42,0,"",12,1,5.35,0.0013,"*"
"22",22,"UHA-0070",13,0.0013,0.000224,"UHA-0014",13,13,0,11.2,"UHA-0262",13,13,0,12.1,0.405,"+",13,0,12.4,0.673,"*"
"23",23,"UHA-0071",12,0.000365,7.59e-06,"UHA-0014",13,12,0,9.09,"UHA-0266",12,12,1,5.34,1.72,"+",12,1,6.93,6.93,"*"
"24",24,"UHA-0075",11,0.00193,0.000104,"UHA-0014",13,11,0,7.27,"UHA-0351",13,11,1,2.03,0,"",11,1,4.7,4.7,"*"
"25",25,"UHA-0077",13,0.000725,4.8e-05,"UHA-0014",13,13,0,10.3,"UHA-0224",13,13,2,-1.44,0,"",13,2,1.62,1.62,"*"
"26",26,"UHA-0079",13,8.28e-06,8.28e-06,"UHA-0014",13,13,0,13.4,"UHA-0267",13,13,0,13.7,1.3,"+",13,0,13.8,0.693,"*"
"27",27,"UHA-0080",12,7.49e-05,2.62e-07,"UHA-0014",13,12,0,8.49,"UHA-0265",13,12,0,12.7,3.56,"*",12,1,12.4,12.4,"*"
"28",28,"UHA-0081",12,0.000962,0.000405,"UHA-0014",13,12,0,12.1,"UHA-0013",13,12,0,9.66,0,"",12,0,10.3,1.38,"*"
"29",29,"UHA-0093",11,0.000664,0.000117,"UHA-0015",13,11,1,3.55,"UHA-0265",13,11,0,9.46,0.972,"+",11,1,10.3,5.71,"*"
"30",30,"UHA-0094",13,8.87e-05,1.9e-06,"UHA-0015",13,13,1,7.46,"UHA-0266",12,12,1,4.75,0.887,"+",12,2,7.45,7.45,"*"
"31",31,"UHA-0095",13,8.34e-05,1.46e-06,"UHA-0015",13,13,1,5.11,"UHA-0266",12,12,0,10.6,0,"",12,1,13.6,13.6,"*"
"33",33,"UHA-0097",12,0.000151,8.43e-05,"UHA-0015",13,12,2,1.17,"UHA-0266",12,11,0,9.37,1.54,"+",11,2,10.8,9.56,"*"
"35",35,"UHA-0101",11,0.00054,4.61e-06,"UHA-0257",13,11,0,7.6,"UHA-0260",13,11,1,3.84,3.84,"*",11,1,7.35,7.35,"*"
"36",36,"UHA-0105",13,4.99e-05,2.15e-06,"UHA-0257",13,13,0,13.2,"UHA-0258",12,12,1,5.14,5.14,"*",12,1,7.69,7.69,"*"
"37",37,"UHA-0109",13,0.000148,1.76e-07,"UHA-0257",13,13,0,9.6,"UHA-0261",13,13,0,11.4,11.4,"*",13,0,16.5,16.5,"*"
"41",41,"UHA-0021",13,7.37e-06,3.4e-07,"UHA-0261",13,13,1,6.6,"UHA-0260",13,13,0,16.4,16.4,"*",13,1,17.7,17.7,"*"
"42",42,"UHA-0022",13,2.59e-05,2.43e-06,"UHA-0261",13,13,0,12.6,"UHA-0257",13,13,1,2.85,2.02,"*",13,1,5.41,5.21,"*"
"43",43,"UHA-0048",13,0.000275,2.1e-06,"UHA-0260",13,13,0,9.18,"UHA-0257",13,13,0,9.2,9.2,"*",13,0,13.1,13.1,"*"
"44",44,"UHA-0049",13,0.000367,1.12e-06,"UHA-0260",13,13,1,5.75,"UHA-0257",13,13,0,10.3,10.3,"*",13,1,14.7,14.7,"*"
"45",45,"UHA-0053",13,0.000234,8.97e-07,"UHA-0260",13,13,0,8.7,"UHA-0351",13,13,1,7.08,7.08,"*",13,1,9.98,9.98,"*"
"46",46,"UHA-0054",13,0.000254,5.51e-06,"UHA-0260",13,13,0,11.3,"UHA-0351",13,13,2,0.913,0.913,"+",13,2,2.36,2.36,"*"
"48",48,"UHA-0069",13,0.000442,1.47e-06,"UHA-0014",13,13,0,7.39,"UHA-0266",12,12,1,5.69,0,"",12,1,7.13,7.13,"*"
"49",49,"UHA-0072",13,0.000947,1.13e-05,"UHA-0014",13,13,0,7.75,"UHA-0266",12,12,0,9.66,9.66,"*",12,0,12.7,12.7,"*"
"50",50,"UHA-0073",13,0.000114,1.1e-05,"UHA-0014",13,13,0,11.6,"UHA-0267",13,13,0,13.4,2.33,"*",13,1,8.64,6.04,"*"
"51",51,"UHA-0074",13,0.00096,1.56e-07,"UHA-0014",13,13,0,5.04,"UHA-0257",13,13,0,9.89,3.73,"*",13,1,9.69,9.69,"*"
"52",52,"UHA-0076",13,0.000248,5.29e-06,"UHA-0014",13,13,0,9.62,"UHA-0266",12,12,0,10.5,0.566,"+",12,0,12.5,12.5,"*"
"53",53,"UHA-0100",13,4.94e-05,3.57e-07,"UHA-0257",13,13,0,10.4,"UHA-0258",12,12,0,11.5,11.5,"*",12,1,10.1,10.1,"*"
"54",54,"UHA-0102",13,0.000104,3.89e-07,"UHA-0257",13,13,0,8.96,"UHA-0351",13,13,1,8.13,8.13,"*",13,1,10.9,10.9,"*"
"55",55,"UHA-0106",13,0.000215,8.98e-06,"UHA-0257",13,13,0,10.5,"UHA-0260",13,13,0,7.69,7.26,"*",13,0,12.3,8.38,"*"
