row_names,Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0020,12,UHA-0261,13,12,0,1.02E+01,UHA-0260,13,12,0,1.80E+01,1.49E+01,*,12,0,2.04E+01,2.04E+01,*
2,UHA-0021,13,UHA-0261,13,13,1,6.71E+00,UHA-0260,13,13,1,1.31E+01,7.48E+00,*,13,1,1.81E+01,1.81E+01,*
3,UHA-0022,12,UHA-0261,13,12,1,3.79E+00,UHA-0257,12,12,0,8.94E+00,8.94E+00,*,12,1,1.19E+01,7.32E+00,*
4,UHA-0023,10,UHA-0261,13,10,0,5.36E+00,UHA-0260,13,10,0,9.99E+00,5.16E+00,*,10,0,1.07E+01,1.07E+01,*
5,UHA-0025,12,UHA-0261,13,12,0,1.04E+01,UHA-0258,11,11,1,5.81E+00,5.81E+00,*,11,1,7.90E+00,7.90E+00,*
6,UHA-0026,12,UHA-0261,13,12,0,1.10E+01,UHA-0016,10,9,0,2.66E+00,0.00E+00,,9,2,-2.69E+00,0.00E+00,
7,UHA-0027,13,UHA-0261,13,13,0,9.16E+00,UHA-0257,12,12,0,1.03E+01,9.75E+00,*,12,0,1.42E+01,1.42E+01,*
8,UHA-0028,13,UHA-0261,13,13,1,7.61E+00,UHA-0257,12,12,0,6.55E+00,3.49E+00,+,12,2,6.19E+00,6.19E+00,*
9,UHA-0029,13,UHA-0261,13,13,0,9.07E+00,UHA-0257,12,12,0,8.77E+00,8.58E+00,*,12,0,1.34E+01,1.34E+01,*
10,UHA-0039,13,UHA-0261,13,13,0,1.47E+01,UHA-0010,12,12,0,9.22E+00,5.92E+00,*,12,0,9.19E+00,5.45E+00,*
11,UHA-0043,11,UHA-0260,13,11,0,6.79E+00,UHA-0261,13,11,0,7.23E+00,6.58E+00,*,11,1,5.97E+00,5.97E+00,*
12,UHA-0045,13,UHA-0260,13,13,0,1.38E+01,UHA-0010,12,12,2,-1.53E+00,0.00E+00,,12,2,-2.18E+00,0.00E+00,
13,UHA-0047,13,UHA-0260,13,13,0,1.03E+01,UHA-0271,13,13,3,-6.77E+00,0.00E+00,,13,3,-5.87E+00,0.00E+00,
14,UHA-0052,13,UHA-0260,13,13,0,1.62E+01,UHA-0266,11,11,3,-6.05E+00,0.00E+00,,11,3,-4.83E+00,0.00E+00,
15,UHA-0056,11,UHA-0260,13,11,0,5.78E+00,UHA-0258,11,10,0,8.52E+00,6.58E+00,*,10,0,9.96E+00,9.96E+00,*
16,UHA-0068,11,UHA-0014,12,11,0,6.02E+00,UHA-0264,12,11,0,8.27E+00,1.41E+00,+,11,0,1.05E+01,2.49E+00,+
17,UHA-0070,12,UHA-0014,12,12,0,9.84E+00,UHA-0262,12,12,0,1.03E+01,3.90E-01,-,12,0,1.03E+01,6.72E-01,+
