row_names,Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0020,8,UHA-0261,9,8,0,7.36E+00,UHA-0260,9,8,0,1.51E+01,1.31E+01,*,8,0,1.75E+01,1.75E+01,*
2,UHA-0021,9,UHA-0261,9,9,0,8.85E+00,UHA-0260,9,9,0,1.53E+01,1.07E+01,*,9,0,1.70E+01,1.70E+01,*
3,UHA-0022,8,UHA-0261,9,8,0,5.93E+00,UHA-0257,8,8,0,6.45E+00,4.86E+00,*,8,0,9.65E+00,5.94E+00,*
4,UHA-0023,7,UHA-0261,9,7,0,3.99E+00,UHA-0260,9,7,0,8.62E+00,4.48E+00,*,7,0,9.60E+00,9.60E+00,*
5,UHA-0025,8,UHA-0261,9,8,0,7.89E+00,UHA-0258,8,8,1,3.62E+00,3.62E+00,+,8,1,6.00E+00,6.00E+00,*
6,UHA-0026,9,UHA-0261,9,9,0,9.55E+00,UHA-0016,7,7,0,1.60E+00,0.00E+00,,7,2,-3.74E+00,0.00E+00,
7,UHA-0027,9,UHA-0261,9,9,0,6.96E+00,UHA-0257,8,8,0,7.40E+00,7.40E+00,*,8,0,1.09E+01,1.09E+01,*
8,UHA-0028,9,UHA-0261,9,9,0,9.74E+00,UHA-0257,8,8,0,4.06E+00,2.10E+00,+,8,1,3.98E+00,3.98E+00,*
9,UHA-0029,9,UHA-0261,9,9,0,8.67E+00,UHA-0257,8,8,0,5.95E+00,5.06E+00,*,8,0,9.76E+00,9.76E+00,*
10,UHA-0039,9,UHA-0261,9,9,0,1.29E+01,UHA-0010,9,9,0,7.72E+00,6.31E+00,*,9,0,7.57E+00,6.68E+00,*
11,UHA-0043,9,UHA-0260,9,9,0,5.33E+00,UHA-0261,9,9,0,5.77E+00,5.77E+00,*,9,1,4.51E+00,4.51E+00,*
12,UHA-0045,9,UHA-0260,9,9,0,1.13E+01,UHA-0016,7,7,0,3.09E+00,3.09E+00,+,7,1,8.75E-01,8.75E-01,+
