"","Ia","p.Ia","rbarD","p.rD"
"QS03797 - 1:MSQ13 - 1",0.04,0,0.04,0
"QS03797 - 1:QrZAG20 - 1",0.06,0,0.07,0
"QS03797 - 1:QS00314 - 1",-0.01,0.74,-0.01,0.74
"QS03797 - 1:QpZAG9 - 1",0.05,0.02,0.05,0.02
"QS03797 - 1:QS1904 - 1",0.02,0.21,0.02,0.21
"QS03797 - 1:MSQ4 - 1",0.05,0.04,0.05,0.04
"QS03797 - 1:QpZAG110 - 1",0.05,0.01,0.05,0.01
"QS03797 - 1:QS00562 - 1",0,0.49,0,0.49
"QS03797 - 1:QpZAG119 - 1",0.04,0,0.04,0
"QS03797 - 1:QrZAG87 - 1",-0.03,0.83,-0.03,0.84
"QS03797 - 1:QpZAG1/5 - 1",0.04,0,0.04,0
"QS03797 - 1:QM69-2M1 - 1",0.03,0.01,0.03,0
"MSQ13 - 1:QrZAG20 - 1",0.18,0,0.19,0
"MSQ13 - 1:QS00314 - 1",0.05,0.13,0.05,0.1
"MSQ13 - 1:QpZAG9 - 1",0.17,0,0.17,0
"MSQ13 - 1:QS1904 - 1",-0.02,0.8,-0.02,0.8
"MSQ13 - 1:MSQ4 - 1",0.05,0,0.05,0
"MSQ13 - 1:QpZAG110 - 1",0.24,0,0.25,0
"MSQ13 - 1:QS00562 - 1",0.04,0,0.05,0
"MSQ13 - 1:QpZAG119 - 1",0.1,0,0.1,0
"MSQ13 - 1:QrZAG87 - 1",0.03,0.04,0.03,0.03
"MSQ13 - 1:QpZAG1/5 - 1",0.14,0,0.15,0
"MSQ13 - 1:QM69-2M1 - 1",0.21,0,0.21,0
"QrZAG20 - 1:QS00314 - 1",0.07,0,0.08,0
"QrZAG20 - 1:QpZAG9 - 1",0.15,0,0.15,0
"QrZAG20 - 1:QS1904 - 1",0.01,0.21,0.01,0.21
"QrZAG20 - 1:MSQ4 - 1",0.03,0,0.03,0
"QrZAG20 - 1:QpZAG110 - 1",0.17,0,0.19,0
"QrZAG20 - 1:QS00562 - 1",0.01,0.17,0.01,0.15
"QrZAG20 - 1:QpZAG119 - 1",0.08,0,0.08,0
"QrZAG20 - 1:QrZAG87 - 1",0.08,0,0.09,0
"QrZAG20 - 1:QpZAG1/5 - 1",0.13,0,0.13,0
"QrZAG20 - 1:QM69-2M1 - 1",0.15,0,0.15,0
"QS00314 - 1:QpZAG9 - 1",0.13,0.01,0.14,0
"QS00314 - 1:QS1904 - 1",0.07,0.01,0.07,0.01
"QS00314 - 1:MSQ4 - 1",0.03,0.06,0.03,0.05
"QS00314 - 1:QpZAG110 - 1",0.16,0,0.16,0
"QS00314 - 1:QS00562 - 1",0.02,0.42,0.02,0.42
"QS00314 - 1:QpZAG119 - 1",0.04,0,0.05,0
"QS00314 - 1:QrZAG87 - 1",0.22,0,0.22,0
"QS00314 - 1:QpZAG1/5 - 1",0.1,0,0.11,0
"QS00314 - 1:QM69-2M1 - 1",0.12,0,0.13,0
"QpZAG9 - 1:QS1904 - 1",0.02,0.19,0.02,0.19
"QpZAG9 - 1:MSQ4 - 1",0.05,0.01,0.05,0.01
"QpZAG9 - 1:QpZAG110 - 1",0.08,0,0.09,0
"QpZAG9 - 1:QS00562 - 1",0.02,0.35,0.03,0.33
"QpZAG9 - 1:QpZAG119 - 1",0.04,0,0.04,0
"QpZAG9 - 1:QrZAG87 - 1",0.06,0,0.06,0
"QpZAG9 - 1:QpZAG1/5 - 1",0.12,0,0.12,0
"QpZAG9 - 1:QM69-2M1 - 1",0.15,0,0.15,0
"QS1904 - 1:MSQ4 - 1",0.03,0.11,0.03,0.11
"QS1904 - 1:QpZAG110 - 1",-0.02,0.71,-0.02,0.72
"QS1904 - 1:QS00562 - 1",-0.02,0.71,-0.02,0.71
"QS1904 - 1:QpZAG119 - 1",0.03,0.15,0.03,0.14
"QS1904 - 1:QrZAG87 - 1",-0.09,1,-0.09,1
"QS1904 - 1:QpZAG1/5 - 1",0,0.47,0,0.47
"QS1904 - 1:QM69-2M1 - 1",0,0.44,0,0.44
"MSQ4 - 1:QpZAG110 - 1",0.13,0,0.13,0
"MSQ4 - 1:QS00562 - 1",-0.03,1,-0.03,1
"MSQ4 - 1:QpZAG119 - 1",0.02,0.01,0.02,0.01
"MSQ4 - 1:QrZAG87 - 1",-0.02,0.79,-0.02,0.79
"MSQ4 - 1:QpZAG1/5 - 1",0.08,0,0.08,0
"MSQ4 - 1:QM69-2M1 - 1",0.06,0,0.06,0
"QpZAG110 - 1:QS00562 - 1",0.04,0.02,0.04,0.02
"QpZAG110 - 1:QpZAG119 - 1",0.1,0,0.12,0
"QpZAG110 - 1:QrZAG87 - 1",0.35,0,0.36,0
"QpZAG110 - 1:QpZAG1/5 - 1",0.2,0,0.22,0
"QpZAG110 - 1:QM69-2M1 - 1",0.28,0,0.3,0
"QS00562 - 1:QpZAG119 - 1",0.01,0.67,0.01,0.66
"QS00562 - 1:QrZAG87 - 1",0.07,0.01,0.07,0.01
"QS00562 - 1:QpZAG1/5 - 1",0.03,0.03,0.03,0.02
"QS00562 - 1:QM69-2M1 - 1",0.05,0,0.05,0
"QpZAG119 - 1:QrZAG87 - 1",0.07,0,0.09,0
"QpZAG119 - 1:QpZAG1/5 - 1",0.09,0,0.09,0
"QpZAG119 - 1:QM69-2M1 - 1",0.09,0,0.09,0
"QrZAG87 - 1:QpZAG1/5 - 1",0.11,0,0.13,0
"QrZAG87 - 1:QM69-2M1 - 1",0.17,0,0.18,0
"QpZAG1/5 - 1:QM69-2M1 - 1",0.19,0,0.19,0
