12,233,2,70,163,,,,,,,,,,,,,,,,,,,,,
,,,O,P,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM6-2M1_1,QM6-2M1_2
UHA-0020,O,2,8,13,13,2,12,5,5,7,7,2,7,8,13,1,1,2,2,4,4,12,12,6,6
UHA-0021,O,8,3,13,13,2,11,5,5,7,7,7,3,13,13,2,2,2,2,4,4,12,7,6,6
UHA-0022,O,3,3,6,14,11,10,5,5,7,14,2,2,13,10,2,2,2,2,4,4,12,7,6,6
UHA-0023,O,8,3,13,13,11,13,5,3,7,14,2,2,0,0,0,0,2,2,4,4,12,7,6,6
UHA-0025,O,3,3,6,14,11,5,5,3,7,16,3,3,4,12,1,1,2,2,4,4,12,7,6,6
UHA-0026,O,2,3,13,6,12,6,3,3,14,10,2,3,13,13,1,1,0,0,4,4,7,2,6,10
UHA-0027,O,3,3,6,14,11,10,5,4,7,18,2,3,10,4,1,1,2,2,4,4,7,2,6,6
UHA-0028,O,2,3,6,15,12,10,5,5,7,14,2,3,13,10,2,2,2,2,4,4,12,7,6,14
UHA-0029,O,2,3,6,14,12,1,3,4,7,14,2,2,13,9,1,2,2,2,4,4,12,7,6,6
UHA-0039,O,2,3,13,6,12,11,5,3,7,10,2,3,13,4,1,1,2,3,4,4,12,7,6,6
UHA-0043,O,3,3,13,6,11,13,0,0,14,10,2,2,8,4,1,1,0,0,4,4,7,2,6,6
UHA-0045,O,8,3,13,13,2,6,5,3,14,14,2,2,13,13,1,1,2,2,4,4,12,7,6,10
UHA-0047,O,3,3,13,6,13,6,3,3,7,14,2,7,8,5,1,2,2,2,4,4,7,2,6,6
UHA-0052,O,8,3,13,13,2,6,5,5,7,14,2,7,8,12,1,1,2,2,4,4,7,10,6,10
UHA-0056,O,3,3,13,14,12,13,5,3,14,14,2,2,0,0,1,1,2,2,4,4,7,5,6,6
UHA-0068,O,3,3,13,13,12,6,3,3,14,12,2,2,5,7,0,0,3,3,4,4,7,8,6,12
UHA-0070,O,3,3,13,6,12,13,3,3,12,11,2,2,13,5,1,1,2,3,4,4,7,8,12,11
UHA-0071,O,3,3,13,15,11,13,5,3,12,11,2,2,12,5,1,1,0,0,4,4,8,8,10,12
UHA-0075,O,3,3,6,6,13,6,0,0,14,11,2,2,5,5,1,1,2,2,4,4,7,8,6,11
UHA-0077,O,3,3,13,6,12,13,5,3,14,11,2,2,13,5,1,1,2,2,4,4,8,8,6,11
UHA-0079,O,3,3,6,6,13,13,5,3,12,12,2,2,5,5,1,1,3,3,4,4,7,8,11,11
UHA-0080,O,3,3,6,15,12,12,3,2,12,13,2,2,5,5,1,1,0,0,4,4,7,9,11,13
UHA-0081,O,3,3,13,6,12,13,5,3,12,11,2,2,13,5,1,1,0,0,4,4,7,8,12,11
UHA-0091,O,3,3,13,15,12,11,3,3,18,11,2,3,8,4,2,2,2,2,4,4,7,8,10,12
UHA-0098,O,3,3,13,14,13,1,3,4,7,14,2,7,13,9,1,2,2,2,4,4,12,7,6,6
UHA-0099,O,3,3,14,14,10,5,5,3,14,18,2,2,10,9,1,1,2,2,4,4,2,5,6,6
UHA-0101,O,3,3,13,15,2,1,5,4,7,14,2,2,8,10,2,2,0,0,4,4,12,7,6,14
UHA-0105,O,3,3,14,15,12,1,5,4,16,18,2,3,10,9,1,1,0,0,4,4,7,2,6,14
UHA-0106,O,3,3,13,14,13,1,5,4,7,18,2,2,13,9,2,2,2,2,4,4,12,2,6,6
UHA-0109,O,2,3,6,14,12,1,5,4,7,18,2,2,4,9,1,2,2,2,4,4,12,7,6,6
UHA-0111,O,3,3,13,14,12,10,5,5,14,16,2,3,12,9,1,1,2,2,4,4,7,7,6,14
UHA-0112,O,3,3,6,15,12,12,3,3,12,13,2,2,5,5,1,1,0,0,4,4,7,9,11,13
UHA-0113,O,3,3,13,14,13,1,5,5,14,18,2,2,13,5,1,1,2,2,4,4,8,8,10,12
UHA-0114,O,3,3,15,15,2,1,5,4,14,14,2,2,8,10,2,2,2,2,4,4,7,2,6,6
UHA-0123,O,3,3,13,15,13,13,5,5,7,10,2,3,10,12,1,2,2,2,4,4,7,2,6,14
UHA-0124,O,3,3,13,15,13,6,5,3,7,10,2,3,13,13,1,1,2,2,4,4,7,7,6,10
UHA-0125,O,2,3,13,15,12,13,5,3,7,14,2,2,13,13,1,1,2,2,4,4,12,7,6,10
UHA-0128,O,3,3,13,15,13,6,5,2,12,13,2,3,13,11,1,6,2,2,4,4,12,8,6,6
UHA-0129,O,3,3,13,15,12,6,5,3,12,13,2,2,4,4,0,0,2,3,4,4,7,5,10,12
UHA-0130,O,3,3,13,15,12,13,5,3,10,12,2,3,13,13,1,1,2,3,4,4,7,5,10,12
UHA-0131,O,2,3,13,15,12,13,3,3,14,12,2,3,4,4,1,1,2,3,4,4,7,7,6,10
UHA-0132,O,2,3,13,6,12,13,5,3,14,12,3,3,13,11,1,6,2,3,4,4,7,8,6,10
UHA-0133,O,3,3,13,15,12,13,3,3,7,12,3,3,8,13,1,1,2,3,4,4,7,8,10,11
UHA-0137,O,3,3,13,15,12,13,5,3,10,12,2,3,13,13,1,1,2,3,4,4,7,5,10,12
UHA-0138,O,3,3,13,17,2,13,3,3,7,15,2,3,13,5,1,1,2,3,4,4,7,7,6,12
UHA-0139,O,3,3,13,13,2,13,5,3,7,7,2,2,4,4,1,4,2,1,4,1,12,6,9,9
UHA-0140,O,3,3,13,15,12,6,5,3,7,7,2,2,8,4,1,1,2,2,4,4,12,12,6,10
UHA-0141,O,3,3,13,14,12,1,3,4,7,14,2,3,4,12,1,1,2,2,4,4,12,10,10,10
UHA-0142,O,3,3,13,15,11,13,5,4,7,7,2,2,4,9,2,2,2,2,4,4,12,7,6,10
UHA-0143,O,3,3,13,15,12,6,5,3,7,13,2,3,13,13,1,1,2,2,4,4,12,5,10,12
UHA-0144,O,3,3,13,15,13,13,5,5,12,13,2,3,4,4,0,0,2,3,4,4,7,5,6,12
UHA-0146,O,3,3,13,15,12,13,5,5,7,10,2,2,0,0,1,1,0,0,4,4,12,7,10,12
UHA-0148,O,3,3,5,8,11,6,5,3,12,15,2,2,4,4,1,1,2,2,4,4,5,8,6,11
UHA-0150,O,3,3,13,15,11,6,3,3,18,21,2,2,12,5,1,1,2,2,4,4,9,6,6,10
UHA-0151,O,3,3,13,5,6,6,3,3,14,21,2,2,5,5,0,0,2,2,4,4,2,8,6,10
UHA-0152,O,3,3,13,13,11,13,3,3,14,12,2,7,8,5,1,1,2,2,4,4,7,8,6,6
UHA-0153,O,8,3,5,5,13,6,3,3,14,21,2,2,8,5,1,1,2,2,4,4,7,8,6,6
UHA-0154,O,3,3,13,14,11,13,5,3,14,12,2,2,11,11,1,1,2,2,4,4,7,8,6,6
UHA-0155,O,3,3,15,5,11,1,5,3,18,12,2,2,10,5,1,1,2,2,4,4,2,8,6,14
UHA-0156,O,3,7,13,14,11,13,3,3,12,8,2,2,6,6,1,1,2,2,0,0,7,8,6,4
UHA-0157,O,3,3,14,5,12,11,5,3,14,12,2,2,10,5,1,1,2,2,4,4,5,8,6,6
UHA-0158,O,3,3,13,6,12,6,5,3,21,20,2,2,10,5,1,1,2,3,4,4,6,6,6,12
UHA-0159,O,3,3,13,13,2,6,5,3,7,21,2,2,13,5,1,1,2,2,4,4,12,6,6,6
UHA-0160,O,3,3,15,5,11,1,3,4,18,21,2,2,10,5,1,2,2,2,4,4,7,8,6,6
UHA-0161,O,3,3,13,13,11,13,3,3,14,21,2,7,13,5,1,1,2,2,4,4,7,6,6,6
UHA-0162,O,3,3,13,14,11,11,3,2,12,8,2,2,0,0,1,4,2,2,4,12,8,6,6,9
UHA-0163,O,3,3,14,5,12,6,5,3,14,21,2,2,5,11,1,1,2,2,4,4,7,7,6,6
UHA-0164,O,3,3,13,15,11,6,3,3,14,18,2,2,13,7,1,1,0,0,4,4,9,9,6,2
UHA-0165,O,3,3,13,13,12,1,3,3,18,12,2,2,13,13,1,1,0,0,4,4,7,9,6,6
UHA-0167,O,8,3,6,6,2,13,5,3,14,16,2,2,0,0,1,1,0,0,4,4,12,7,6,11
UHA-0003,P,2,3,3,3,1,8,3,3,13,20,2,2,4,9,2,2,2,2,4,4,2,2,12,15
