"","row_names","Offspring_ID","Loci_typed","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"1",1,"UHA-0020",12,"UHA-0261",13,12,0,10.2,"UHA-0260",13,12,0,18,14.9,"*",12,0,20.4,20.4,"*"
"2",2,"UHA-0021",13,"UHA-0261",13,13,1,6.71,"UHA-0260",13,13,1,13.1,7.48,"*",13,1,18.1,18.1,"*"
"3",3,"UHA-0022",12,"UHA-0261",13,12,1,3.79,"UHA-0257",12,12,0,8.94,8.94,"*",12,1,11.9,7.32,"*"
"4",4,"UHA-0023",10,"UHA-0261",13,10,0,5.36,"UHA-0260",13,10,0,9.99,5.16,"*",10,0,10.7,10.7,"*"
"5",5,"UHA-0025",12,"UHA-0261",13,12,0,10.4,"UHA-0258",11,11,1,5.81,5.81,"*",11,1,7.9,7.9,"*"
"7",7,"UHA-0027",13,"UHA-0261",13,13,0,9.16,"UHA-0257",12,12,0,10.3,9.75,"*",12,0,14.2,14.2,"*"
"8",8,"UHA-0028",13,"UHA-0261",13,13,1,7.61,"UHA-0257",12,12,0,6.55,3.49,"+",12,2,6.19,6.19,"*"
"9",9,"UHA-0029",13,"UHA-0261",13,13,0,9.07,"UHA-0257",12,12,0,8.77,8.58,"*",12,0,13.4,13.4,"*"
"10",10,"UHA-0039",13,"UHA-0261",13,13,0,14.7,"UHA-0010",12,12,0,9.22,5.92,"*",12,0,9.19,5.45,"*"
"11",11,"UHA-0043",11,"UHA-0260",13,11,0,6.79,"UHA-0261",13,11,0,7.23,6.58,"*",11,1,5.97,5.97,"*"
"15",15,"UHA-0056",11,"UHA-0260",13,11,0,5.78,"UHA-0258",11,10,0,8.52,6.58,"*",10,0,9.96,9.96,"*"
"16",16,"UHA-0068",11,"UHA-0014",12,11,0,6.02,"UHA-0264",12,11,0,8.27,1.41,"+",11,0,10.5,2.49,"+"
"17",17,"UHA-0070",12,"UHA-0014",12,12,0,9.84,"UHA-0262",12,12,0,10.3,0.39,"-",12,0,10.3,0.672,"+"
"18",18,"UHA-0071",11,"UHA-0014",12,11,0,7.24,"UHA-0266",11,11,0,9.63,3.09,"+",11,0,11.8,11.8,"*"
"20",20,"UHA-0077",12,"UHA-0014",12,12,0,8.87,"UHA-0263",12,12,0,8.54,0,"",12,1,4.06,1.25,"+"
"21",21,"UHA-0079",12,"UHA-0014",12,12,0,11.9,"UHA-0267",12,12,0,12.3,1.4,"+",12,0,12.3,0.694,"+"
"22",22,"UHA-0080",11,"UHA-0014",12,11,0,6.84,"UHA-0265",12,11,0,9.31,1.79,"+",11,1,8.16,8.16,"*"
"23",23,"UHA-0081",11,"UHA-0014",12,11,0,10.1,"UHA-0262",12,11,0,10,1.05,"-",11,0,10,0.677,"+"
"25",25,"UHA-0098",12,"UHA-0257",12,12,0,8.77,"UHA-0260",13,12,0,9.1,5.63,"*",12,0,13.1,8.04,"*"
"26",26,"UHA-0099",12,"UHA-0257",12,12,0,11,"UHA-0258",11,11,0,10,10,"*",11,0,11.2,11.2,"*"
"27",27,"UHA-0101",11,"UHA-0257",12,11,0,8.12,"UHA-0260",13,11,1,3.51,3.51,"+",11,2,1.71,1.71,"+"
"28",28,"UHA-0105",11,"UHA-0257",12,11,0,10.6,"UHA-0258",11,11,0,9.99,9.99,"*",11,1,8.06,8.06,"*"
"29",29,"UHA-0106",12,"UHA-0257",12,12,0,10.9,"UHA-0010",12,11,0,4.98,3.23,"+",11,0,8.86,3.52,"*"
"30",30,"UHA-0109",12,"UHA-0257",12,12,0,9.85,"UHA-0261",13,12,0,8.67,8.67,"*",12,0,13,13,"*"
"35",35,"UHA-0123",12,"UHA-0010",12,11,1,1.63,"UHA-0259",12,11,0,7.7,7.39,"*",11,3,1.75,1.75,"+"
"36",36,"UHA-0124",13,"UHA-0010",12,12,0,8.66,"UHA-0259",12,12,1,3.52,0,"",12,1,4.8,4.8,"*"
"37",37,"UHA-0125",13,"UHA-0010",12,12,0,7.79,"UHA-0261",13,13,0,9.88,1.47,"+",13,2,1.6,0.166,"+"
"39",39,"UHA-0129",12,"UHA-0010",12,12,0,6.22,"UHA-0259",12,12,1,4.16,3.02,"+",12,1,6.62,4.9,"*"
"40",40,"UHA-0130",12,"UHA-0010",12,11,0,7.85,"UHA-0259",12,11,1,1.73,0,"",11,1,4.09,4.09,"*"
"41",41,"UHA-0131",13,"UHA-0010",12,12,0,8.29,"UHA-0016",10,10,0,4.99,0.621,"-",10,1,2.38,2.15,"+"
"43",43,"UHA-0133",13,"UHA-0010",12,12,0,8.95,"UHA-0263",12,12,0,9.83,4.93,"*",12,2,1.83,1.83,"+"
"44",44,"UHA-0137",12,"UHA-0010",12,11,0,7.85,"UHA-0259",12,11,1,1.73,0,"",11,1,4.09,4.09,"*"
